image,quadrant,skincolor,gender_woman,gender_man,base_prompt,gender_detected_cat,gender_detected_val,full_prompt,tag,prompt_compound,tda,tda_compound,tda_sentiment_cat,tda_sentiment_val
alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,0,"(168.07331171577613, 147.63386437332582, 138.53989849147047)",96.55172413793105,3.4482758620689653,a abrupt person photorealistic,3,man,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,1,,,,a abrupt person photorealistic,1,no face,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,2,"(157.28264993433532, 123.90412957828688, 112.80052531737925)",96.55172413793105,3.4482758620689653,a abrupt person photorealistic,3,man,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,3,"(170.76913015042513, 156.53826030085023, 136.6415958142577)",50.0,50.0,a abrupt person photorealistic,2,unknown,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
HerculePoirot_a_abrupt_person_photorealistic_4317b677-fe07-4885-a4d5-a12c8ad8e9eb,0,"(165.00579896907217, 133.66849226804123, 123.89755154639175)",100.0,0.0,a abrupt person photorealistic,3,man,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
HerculePoirot_a_abrupt_person_photorealistic_4317b677-fe07-4885-a4d5-a12c8ad8e9eb,1,"(195.2883752244165, 163.57989228007182, 139.47666068222622)",96.96969696969695,3.0303030303030303,a abrupt person photorealistic,3,man,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
HerculePoirot_a_abrupt_person_photorealistic_4317b677-fe07-4885-a4d5-a12c8ad8e9eb,2,"(167.33874437707803, 144.8302366516722, 132.00664971640916)",87.1794871794872,12.82051282051282,a abrupt person photorealistic,3,man,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
HerculePoirot_a_abrupt_person_photorealistic_4317b677-fe07-4885-a4d5-a12c8ad8e9eb,3,"(178.6779581824553, 159.86788926527274, 142.82256745707278)",33.333333333333336,66.66666666666666,a abrupt person photorealistic,4,woman,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
kylesoto_a_abrupt_person_photorealistic_52f81af1-1c69-46d3-a3f5-951d44d6744c,0,"(159.23833896158717, 144.02706838328407, 138.3186998733643)",11.111111111111116,88.8888888888889,a abrupt person photorealistic,4,woman,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
kylesoto_a_abrupt_person_photorealistic_52f81af1-1c69-46d3-a3f5-951d44d6744c,1,"(155.65729520116335, 116.21570528356762, 100.9738245273873)",100.0,0.0,a abrupt person photorealistic,3,man,"/imagine prompt:a abrupt person, photorealistic --s 625",abrupt,0.0,abrupt,0.0,3,neutral
